Title,Geography,Geography ISO,Jurisdiction,Citation Reference Number,Responses,At issue,Connected Internal Laws,Connected External Laws,Sectors,Side A,Side B,Side C,Events,Summary,,,,,,,,,,,,,
Non-compliance Procedure of Croatia under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2009-1-8/Croatia/EB,Mitigation,<div>Question of implementation relating to the calculation of Croatia’s assigned amount and commitment period reserve</div>,,,Economy-wide,Croatia|government,,,28/08/2009|Report of the review,26/11/2009|Final decision,"<div>The question of implementation arose in relation to Croatia’s assigned amount and its commitment period reserve, and whether a decision taken under the Convention allowed Croatia to issue more credits under the Kyoto Protocol.<br><br></div><div>The expert review team considered the addition of 3.5Mt carbon dioxide equivalent by Croatia to its base year level as not in accordance with provisions relating to the calculation of the country’s assigned amount as per Article 3, paragraphs 7 and 8, of the Kyoto Protocol, and the modalities for the accounting of assigned amounts. Further, Croatia’s calculation of its commitment period reserve was also deemed to be non-compliant with the modalities for the accounting of assigned amounts. Croatia’s plan for reinstatement of compliance included the withdrawal of any disagreement with the expert review team on conclusions relating to the calculation of assigned amount and commitment period reserve, and a request to reinstate Croatia’s eligibility to participate in mechanisms under Articles 6, 12 and 17 of the Kyoto Protocol. The enforcement branch held that, although the plan did not meet all the requirements set out in the preliminary finding, it was expected to remedy the country’s non-compliance if implemented in accordance with the decision.<br><br></div>",,,,,,,,,,,,
Non-compliance Procedure of Canada under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2008-1/Canada/EB,Mitigation,<div>Canada’s failure to establish a national registry in accordance with the guidelines and modalities</div>,,,Economy-wide,Canada|government,,,17/04/2008|Report of the review,15/06/2008|Final decision,"<div>The question of implementation arises in relation to guidelines for the preparation of the information required under Article 7 of the Kyoto Protocol, the modalities for accounting of assigned amounts under Article 7, para 4 of the Kyoto Protocol, and the requirements of the technical standards for data exchange between registry systems.&nbsp;<br><br></div><div>Canada had not established a national registry by the time of the in-country visit, nor a registry system that had initialized with the international transaction log by the publication date of the review report, and had also provided insufficient information on its national registry. At the hearing, Canada acknowledged the delay in establishing its national registry at its hearing, and provided a description of how its national registry performs the relevant functions and complies with the requirements of the data exchange standards in its written submission. The information provided by Canada, alongside other evidence such as an independent assessment report, enabled a technical assessment that Canada had established a national registry able to perform the relevant functions and complying with data exchange standards. As such, this provided a sufficient factual basis to avert a finding of non-compliance.</div>",,,,,,,,,,,,
Non-compliance Procedure of Kazakhstan under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2019-1/Kazakhstan/EB,Mitigation,"<div>Kazakhstan’s non-compliance with requirements under Articles 5 and 7 of the Kyoto Protocol and methodological, reporting and national registry requirements and adjustments required to its 2017 submission with respect to CO2, CH4 and N2O emission estimates.<br><br></div>",,,Economy-wide,Kazakhstan|government,,,19/02/2019|Report filed,26/06/2019|Final decision,"<div>The Compliance Committee received questions of implementation indicated in the report of the expert review team (ERT) on the review of the report to facilitate the calculation of the assigned amount for the second commitment period of the Kyoto Protocol of Kazakhstan. The enforcement branch of the Compliance Committee declared Kazakhstan to be in non-compliance with guidelines under Article 7 and Article 5, paragraph 1, of the Kyoto Protocol and the methodological and reporting requirements under the Protocol. Further, it determined that Kazakhstan had not yet met the eligibility requirements under Articles 6, 12 and 17 of the Kyoto Protocol.<br><br></div><div>Kazakhstan submitted its compliance implementation plan on 17 January 2020, however the chairman of the Compliance Committee has noted shortcomings of the plan and asked for a revised plan to be submitted by 1 April 2020.<br><br></div>",,,,,,,,,,,,
Non-compliance Procedure of Monaco under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2018-1/Monaco/EB,Mitigation,<div>Monaco’s non-compliance with Articles 5 and 7 of the Kyoto Protocol in relation to its annual submission.</div>,,,Economy-wide,Monaco|government,,,23/03/2018|Report filed,30/08/2018|Final decision,"<div>The question of implementation arose with respect to Monaco’s annual submission made in 2017. The expert review team (ERT) noted that there were significant delays in the submission of annual inventory reports (NIRs) meaning Monaco had not met mandatory requirements and furthermore considered that the late submission of NIRs indicates problems with the performance of the national system functions.<br><br></div><div>Consequently, on 30 August 2018 the enforcement branch determined Monaco to be in non-compliance with the “Guidelines for the preparation of the information required under Article 7 of the Kyoto Protocol” in conjunction with the “Guidelines for national systems for the estimation of anthropogenic greenhouse gas emissions by sources and removals by sinks under Article 5, paragraph 1, of the Kyoto Protocol”. Monaco was required to submit a plan to address the non-compliance and report on the progress of its implementation.<br><br></div>",,,,,,,,,,,,
Non-compliance Procedure of Bulgaria under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2010-1-17/Bulgaria/EB,Mitigation,<div>Bulgaria’s failure to establish an initial report demonstrating its capacity to account for emissions</div>,,,Economy-wide,Bulgaria|government,,,17/03/2010|Report filed,28/06/2010|Final decision,"<div>The case arose with respect to Bulgaria’s 2009 annual submission that was not compliant with the UNFCCC reporting guidelines, the IPCC good practice guidance and the IPCC good practice guidance for LULUCF. The institutional arrangements and technical competence appeared to be insufficient. Consequently, it was found that the Bulgarian national system did not operate fully in accordance with the general and specific functions as set out in the guidelines for national systems. On 28 June 2010, the enforcement branch determined that Bulgaria was not in compliance with the guidelines for national systems and consequently not eligible to participate in the transfer and sale of emission credits. In August 2010 and October 2010, Bulgaria submitted revised plans of implementation and updated reports. On 4 February 2011, the branch decided that there no longer continued to be a question of implementation with respect to Bulgaria's eligibility and reinstated Bulgaria’s eligibility eligible to participate in the mechanisms under articles 6, 12 and 17 of the Protocol.</div>",,,,,,,,,,,,
Non-compliance Procedure of Romania under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2011-1-8/Romania/EB,Mitigation,<div>Romania’s failure to establish an initial report demonstrating compliance of its national systems with the procedures under the Kyoto Protocol.</div>,,,Economy-wide,Romania|government,,,17/05/2011|Report filed,27/08/2011|Final decision,"<div>The question of implementation arose with respect to Romania’s 2010 annual inventory submission. Consequently, it was found that the Romanian national system did not operate fully in accordance with the general and specific functions as set out in the guidelines for national systems. In particular, the institutional, legal and procedural arrangements failed in estimating emissions and sinks covered by the Protocol, and for reporting and archiving this information in accordance with the methods described in the revised 1996 IPCC guidelines. Further, the national system was unable to comply with the preparation of information under Article 7, paragraph 1 of the Kyoto Protocol, for land-use change and forestry activities.&nbsp;<br><br></div><div>On 27 August 2011, the enforcement branch determined that Romania was not in compliance with the guidelines for national systems and consequently not eligible to participate in the transfer and sale of emission credits. In November 2011 and January 2012, Romania submitted revised plans of implementation and updated reports. On 13 July 2012, the branch decided that there no longer continued to be a question of implementation with respect to Romania's eligibility and reinstated Romania’s eligibility eligible to participate in the mechanisms under articles 6, 12 and 17 of the Protocol.</div>",,,,,,,,,,,,
Non-compliance Procedure of Ukraine under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2011-2-9/Ukraine/EB,Mitigation,<div>Ukraine’s failure to establish an initial report demonstrating compliance of its national systems with the procedures under the Kyoto Protocol.</div>,,,Economy-wide,Ukraine|government,,,12/01/2011|Final decision,11/06/2011|Report filed,"<div>The question of implementation arose with respect to Ukraine’s 2010 annual inventory submission. Consequently, it was found that the Ukrainian national system did not operate fully in accordance with the general and specific functions as set out in the guidelines for national systems. In particular, the institutional, legal and procedural arrangements failed in estimating emissions and sinks covered by the Protocol, and for reporting and archiving this information in accordance with the methods described in the revised 1996 IPCC guidelines. Further, the national system was unable to ensure consistent land representation in accordance with the IPCC good practice guidance and unable to account for all carbon stock changes.&nbsp;<br><br></div><div>On 12 October 2011, the enforcement branch determined that Ukraine was not in compliance with the guidelines for national systems and consequently not eligible to participate in the transfer and sale of emission credits. In December 2011 and February 2012, Ukraine submitted its plan of implementation and updated reports respectively. On 9 March 2012, the branch decided that there no longer continued to be a question of implementation with respect to Ukraine's eligibility and reinstated Ukraine’s eligibility eligible to participate in the mechanisms under articles 6, 12 and 17 of the Protocol.<br><br></div>",,,,,,,,,,,,
Non-compliance Procedure of Ukraine under the Kyoto Protocol II,International,INT,United Nations Framework Convention on Climate Change,CC-2016-1-6/Ukraine/EB,Mitigation,<div>Ukraine’s failure to establish a true-up period report demonstrating compliance with the Kyoto Protocol</div>,,,Economy-wide,Ukraine|government,,,19/04/2016|Report filed,07/09/2016|Final decision,"<div>The case arose with regard to Ukraine’s true-up period report after the first commitment period under the Protocol. The first question of implementation was triggered by the late submission of this report, and the inconsistencies between information in the report and the transaction log maintained by the secretariat. The second question was regarding Ukraine’s emission reduction targets. It was found that Ukraine did not retire sufficient units to cover its total greenhouse gas emissions as required under the Kyoto Protocol. Consequently, on 7 September 2016 the enforcement branch determined that Ukraine was not in formal compliance with Article 7 (paragraph 1 in conjunction with paragraph 4) of the Kyoto Protocol. Ukraine was required to submit a compliance implementation plan.<br><br></div><div>In December 2016, Ukraine submitted a plan to address the non-compliance. In March 2017 and July 2017, Ukraine submitted the progress reports. In July 2017, Ukraine also revised its true-up report for the first commitment period. Subsequently, on 6 September 2017 the enforcement branch considered the report submitted by Ukraine and concluded that there no longer continues to be a question of implementation.</div>",,,,,,,,,,,,
Non-compliance Procedure of Lithuania under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2011-3-8/Lithuania/EB,Mitigation,<div>Lithuania’s failure to establish an initial report demonstrating its capacity to account for emissions in compliance with guidelines under the Kyoto Protocol</div>,,,Economy-wide,Lithuania|government,,,16/09/2011|Report filed,21/12/2011|Final decision,"<div>The question of implementation arose with respect to Lithuania’s 2010 annual inventory submission. Consequently, it was found that the Lithuanian national system did not operate fully in accordance with the general and specific functions as set out in the guidelines for national systems. In particular, the institutional, legal and procedural arrangements failed in estimating emissions and sinks covered by the Protocol, and for reporting and archiving this information in accordance with the methods described in the revised 1996 IPCC guidelines. Further, the national system was unable to comply with the preparation of information under Article 7, paragraph 1 of the Kyoto Protocol, for land-use change and forestry activities.&nbsp;<br><br></div><div>On 21 December 2011, the enforcement branch determined that Lithuania was not in compliance with the guidelines for national systems and consequently not eligible to participate in in the transfer and sale of emission credits. In March 2012 and June 2012, Lithuania submitted its plan of implementation and updated reports respectively. On 24 October 2012, the branch decided that there no longer continued to be a question of implementation with respect to Lithuania and reinstated Lithuania’s eligibility eligible to participate in the mechanisms under articles 6, 12 and 17 of the Protocol.<br><br></div>",,,,,,,,,,,,
Non-compliance Procedure of Slovakia under the Kyoto Protocol,International,INT,United Nations Framework Convention on Climate Change,CC-2012-1-9/Slovakia/EB,Mitigation,<div>Slovakia’s failure to establish an initial report demonstrating compliance with the Kyoto Protocol</div>,,,Economy-wide,Slovakia|government,,,17/05/2012|Report submitted,17/08/2012|Final decision,"<div>The question of implementation arose with respect to Slovakia’s 2011 annual inventory submission, regarding Slovakia’s national system and its calculation of estimates of greenhouse gas emissions. The preliminary finding indicated that a partial operational impairment resulted in non-compliance with guidelines under Article 5, paragraph 1, of the Kyoto Protocol. However, this did not affect the eligibility requirements under Articles 6, 12 and 17 of the Kyoto Protocol. Consequently, on 17 August 2012, the enforcement branch determined that Slovakia was not in compliance and was required to address the non-compliance within three months.<br>In September 2012 and March 2013, Slovakia submitted the implementation plan and progress reports. Subsequently, the enforcement branch considered the 2012 annual report submitted by Slovakia and concluded that there no longer continues to be a question of implementation.</div>",,,,,,,,,,,,
Hearing on Climate Change Before the Inter-American Commission on Human Rights,International,INT,Inter-American Commission on Human Rights,,"Adaptation, Mitigation",<div>Civil society groups asked IACHR to promote climate policies that protect human rights.</div>,,,Other,Fundación Pachamama (Ecuador)|ngo,Dejusticia (Colombia)|ngo,EarthRights International |ngo,FUNDEPS (Argentina)|ngo,FIMA (Chile|ngo,DPLF|ngo,IDL (Peru)|ngo,CELS (Argentina)|ngo,Engajamundo (Brazil)|ngo,AHCC (Honduras|ngo,Conectas (Brazil)|ngo,FARN (Argentina)|ngo,CEMDA (México)|ngo,La Ruta del Clima (Costa Rica)|ngo,,,22/05/2020|Court hearing,"<div>On May 22, 2020, the Inter-American Commission on Human Rights heard presentations from representatives of a number of civil society organizations about the impacts of climate change on the human rights of indigenous peoples, women, children, and rural communities. The organizations stated that human rights impacts can occur during the emission of greenhouse gases, due to the effects of extreme climate events, and in the response to climate change. The request for hearing was filed by Fundación Pachamama (Ecuador), Dejusticia (Colombia), EarthRights International (regional), AIDA (regional), FUNDEPS (Argentina), FIMA (Chile), DPLF (regional), IDL (Peru), CELS (Argentina), Engajamundo (Brazil), AHCC (Honduras), Conectas (Brazil), FARN (Argentina), CEMDA (México), and La Ruta del Clima (Costa Rica).<br><br></div><div>The petitioners urged the Commission to recognize the climate crisis as a priority that threatens human rights and ecosystems; advance petitions and precautionary measures related to climate change and its response measures; urge states to protect and guarantee the rights of actors who work to defend human rights; call on states to aim for more ambitious climate action through the 2020 nationally determined contributions; and emphasize the responsibility of businesses to respect human rights in the context of climate change. The organizations further requested that the Commission urge states in the region to take action to stop activities that aggravate climate change and threaten the effective enjoyment of human rights; promote energy transition models that guarantee economic, social, cultural, and environmental rights, especially of indigenous peoples, children and youth, women, and rural communities; take specific measures to guarantee access to information related to the impacts of climate change and its response measures; and promote gender equality. In May 2020 the petitioners published a report regarding their requests.</div>"
"Youth for Climate Justice v. Austria, et al.",International,INT,European Court of Human Rights,,Mitigation,<div>Youth filed human rights complaint against 33 governments.</div>,,European Convention on Human Rights|,Other,Youth for Climate Justice|individual_ngo,Austria and 32 other countries|government,,02/09/2020|Case filed||,"<div>On September 2, 2020, six Portuguese youth filed a complaint with the European Court of Human Rights against 33 countries. The complaint alleges that the respondents have violated human rights by failing to take sufficient action on climate change, and seeks an order requiring them to take more ambitious action.&nbsp;<br><br></div><div>The complaint relies on Articles 2, 8 and 9 of the European Convention on Human Rights, which protect the right to life, right to privacy, and right to not experience discrimination. The complainants claim that their right to life is threatened by the effects of climate change in Portugal such as forest fires; that their right to privacy includes their physical and mental wellbeing, which is threatened by heatwaves that force them to spend more time indoors; and that as young people, they stand to experience the worst effects of climate change.&nbsp;<br><br></div><div>The case is brought against the Member States of the EU (Austria, Belgium, Bulgaria, Cyprus, Czech Republic, Germany, Greece, Denmark, Estonia, Finland, France, Croatia, Hungary, Ireland, Italy, Lithuania, Luxembourg, Latvia, Malta, the Netherlands, Poland, Portugal, Romania, Slovak Republic, Slovenia, Spain and Sweden) as well as Norway, Russia, Switzerland, Turkey, Ukraine and the United Kingdom. The complainants allege that the respondents have fallen short of their human rights obligations by failing to agree to emissions reductions that will keep temperature rise to 1.5 degrees Celsius, as envisioned by the Paris Agreement.<br><br>On November 30, 2020, The European Court of Human Rights accepted and fast-tracked the case and communicated the case to 33 defendant countries, requiring them to respond by the end of February 2021. According to the Global Legal Action Network, who are supporting the case, only a tiny minority of cases before the Court are fast-tracked and communicated.<br><br>In February 2021, the Court rejected a motion by the defendant governments to overturn its prior decision. According to GLAN, the governments had asked the court to overturn its fast-tracking of the case and to hear their arguments that the case is inadmissible. The Court rejected both of the defendants' arguments and gave them until May 27, 2021 to submit a defense.&nbsp;</div>",,,,,,,,,,,,,
Center for Food and Adequate Living Rights et al. v. Tanzania and Uganda,International,INT,East African Court of Justice,,Mitigation,<div>Whether agreements to build the East African Crude Oil Pipeline violate environmental and human rights impact assessment requirements</div>,The National Environment Act|http://climate-laws.org/geographies/uganda/laws/the-national-environment-act,Ugandan Constitution|https://ulii.org/ug/legislation/consolidated-act/0/,East African Community Treaty|https://www3.nd.edu/~ggoertz/rei/rei200/rei200.02tt1.pdf,Energy,Center for Food and Adequate Living Rights|ngo,Africa Institute for Energy Governance|ngo,Natural Justice|ngo,Center for Strategic Litigation in Tanzania|ngo,Tanzania|government,Uganda|government,,06/11/2020|Case filed||,"<div>On November 6, 2020, four civil society organizations filed a suit against the governments of Tanzania and Uganda in the East African Court of Justice seeking an injunction to stop the East African Crude Oil Pipeline. Plaintiffs allege that the governments, without objection from the Secretary General of the East African Community, who is responsible for oversight of the East African Community Treaty, signed agreements to build the pipeline without proper environmental, social, human rights, and climate impact assessments. The claims arise under Ugandan national law and the East African Community Treaty and its protocols. The civil society organizations are the Center for Food and Adequate Living Rights, the Africa Institute for Energy Governance, Natural Justice, and the Center for Strategic Litigation in Tanzania.</div>",,,,,,,,
"Petition to the Inter-American Commission on Human Rights Seeking to Redress Violations of the Rights of Children in Cité Soleil, Haiti",International,INT,Inter-American Commission on Human Rights,,Loss and Damage,"<div>Whether the health harms from trash disposal, exacerbated by climate change, violate Haitian children's human rights.</div>",,American Convention on Human Rights|,"Health, Other",Six children of Cité Soleil|individual,Sakala Community Center for Peaceful Alternatives|ngo,,,04/02/2021|Petition filed||,"<div>On February 4, 2021, Haitian children petitioned the Inter-American Commission on Human Rights to redress human rights violations stemming from waste disposal in their residential district. The petition lays out a factual background of toxic trash disposal from Port-Au-Prince in the residential district of Cité Soleil, which causes short and long term health harms most acutely affecting children. The petition includes a discussion of climate change's exacerbation of the harms to children through environmental displacement and exacerbation of waterborne diseases. Petitioners allege violations of the American Convention's Rights of the Child (Article 19), the Right to Dignity (Article 11), the Right to Live in a Healthy Environment (Articles 4, 26), and the Right to Judicial Protection (Article 25). The Commission is expected to first decide whether to assert jurisdiction.</div>",,,,,,,,,,,,
An Taisce v. v. Irish Planning Board (High Court of Ireland 2015),Ireland,IRL,Ireland,[2015] IEHC 633,Mitigation,<div>Appeal of planning authority grant of permission to operate power plant without first considering impacts of extracting feedstock</div>,,,Energy,"An Taisce, Friends of the Irish Environment Limited|individual_ngo",Ireland and Attorney General|government,"Edenderry Power Limited, Bord Na Móna Energy Limited, Bord Na Móna Allen Peat Limited, Bord Na Móna PLC, Minister for Environment, Community and Local Government, Ireland and Attorney General, Department of Arts Heritage and the Gaeltacht, Environmental Protection Agency and an Taisce|corporation",22/01/2014|Case opened|An Taisce and Friends of the Irish Environment challenged the approval of Edenderry Power Ltd.'s application to extend operation of its peat- and biomass-burning power plant from 2015 to 2023.,09/10/2015|Appeal successful|The High Court granted the appeal and overturned the permission.,"<div>An Taisce and Friends of the Irish Environment, Ltd., challenged An Bord Pleanála’s approval of Edenderry Power Ltd.’s application to extend operation of its peat- and biomass-burning power plant from 2015 to 2023. Bord Na Móna Allen Peat Limited and others engaged in peat extraction and transport were also parties to the case. At issue was whether the approval granted to Edenderry had complied with the EU’s Environmental Impact Assessment Directive, which was incorporated into Irish law in 2010. An Taisce argued that the approval had not because it had considered only the impacts of the plant’s operations but not those resulting from the peat extraction and transport involved in supplying the bulk of the plant’s feedstock. Edenderry and the other respondents countered that because neither the peat nor plant operations were contingent upon one another they were unrelated for the purposes of environmental review.&nbsp;<br><br>The High Court, noting that it was required to base its decision on the “actual reality of the project” at issue, rejected Edenderry’s arguments as theoretical—the permit application, after all, contemplated sourcing from these particular bogs, such that any other approach would constitute a material change to the application. Thus, “[t]here is functional interdependence as the power plant relies for the vast majority of its raw material on the designated bogs.” The court also noted that it made no difference that the bogs were independently subject to an air pollution licensing regime. The planning authority, it explained, “is entitled to take the licenses into account” when assessing the impacts of the peat extraction operations.</div>",,,,,,,,,,,,
Friends of the Irish Environment CLG v. Fingal County Council,Ireland,IRL,Ireland,2017 No.344 JR,Mitigation,<div>Applicability of a constitutional right to the environment and public participation requirements to granting a five-year extension of a planning permission for an airport runway</div>,Climate Action and Low Carbon Development Act 2015|http://climate-laws.org/geographies/ireland/laws/climate-action-and-low-carbon-development-act-2015,Constitution of Ireland|http://www.irishstatutebook.ie/eli/cons/en/html, Planning and Development Act 2000|http://www.irishstatutebook.ie/eli/2000/act/30/enacted/en/html, Environmental Impact Assessment Directive (2011/92/EU)|https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32011L0092,"Cross Cutting Area, Transportation",Friends of the Irish Environment CLG|ngo,Fingal County Council|government,,"21/11/2017|Case decided|The High Court ruled against Friend of the Irish Environment arguing lack of standing, but recognized ""a personal consitutional right to an environment"".","<div>Friends of the Irish Environment challenged the Fingal County Council’s decision to issue a five-year extension to the Dublin Airport Authority for their planning permission to construct a new runway. The court declined to grant any of the relief sought by plaintiffs because they failed to assert a viable claim for standing. However, in a historic first, the High Court issued a judgment recognizing “a personal constitutional right to an environment” under the Irish Constitution. Despite finding a lack of standing, the High Court issued a comprehensive review of the merits in anticipation of a future appeal.<br><br></div><div>The High Court declared that, “A right to an environment that is consistent with the human dignity and well-being of citizens at large is an essential condition for the fulfilment of all human rights. It is an indispensable existential right that is enjoyed universally, yet which is vested personally as a right that presents and can be seen always to have presented, and to enjoy protection, under Art. 40.3.1° of the Constitution.” The Court elaborated that this right was not so “Utopian” as to prevent enforcement, but would rather become enforceable once made concrete through the definition and demarcation of specific duties and obligations. The High Court explained that recognizing this previously unenumerated constitutional right was a first step in this process to define and demarcate a right to an environment.<br><br></div><div>However, the High Court did not find that the Fingal County Council violated this newly recognized right to an environment by extending the planning permission for the runway. The Court explained, “. . . even though the court accepts that members of the [Friends of Irish Environment] enjoy the contended-for constitutional right, and that the [Friends of the Irish Environment] itself has standing as a body corporate, and has a sufficient basis to contend for recognition of that existing but unenumerated constitutional right, the [Friends of the Irish Environment] nevertheless did not have a right to participate in the extension decision under [Section 42 of the Planning and Development Act 2000] (there is no such right of participation) and it has failed to establish that there is, by reference to that section and on the facts presenting, any disproportionate interference with the personal constitutional right to an environment that is consistent with the human dignity and well-being of citizens at large. In truth, the court sees in [Section 42] nothing more than a proper and proportionate legislative interference with the said, ever-present and now expressly recognised personal constitutional right.”<br><br></div><div>Further, the High Court ruled that Friends of the Irish Environment did not fulfill standing requirements under section 42 of the Planning and Development Act 2000, Article 11 of the Consolidated EIA Directive, or the “Aarhus Convention” (i.e. the UNECE Convention on Access to Information, Public Participation in Decision-Making and Access to Justice in Environmental Matters adopted on 25th June 1998 in the Danish city of Aarhus). The High Court found that neither the Planning and Development Act 2000 nor the Consolidated EIA contained requirements for further public participation in granting an extension of a planning permission. Claims concerning the original decision to grant a planning permission in 2007 were deemed impermissible collateral attacks.<br><br></div><div>The Court did not find that the Section 15 of the Climate Action and Low Carbon Development Act 2015 changed the substance of Section 42 of the Planning and Development Act in a way relevant to the claims of this case. Section 15 creates an obligation that ""A relevant body shall, in the performance of its functions, have regard to . . . the furtherance of the national transition objective, and the objective of mitigating greenhouse gas emissions and adapting to the effects of climate change in the State."" The High Court said that the Fingal Council would only need to provide reasons if it elected to entirely depart from the objectives of Section 15. The High Court did not believe this this sort of departure was present in the case at hand.</div>",,,,,,,,,,,
Friends of the Irish Environment v. Ireland,Ireland,IRL,Ireland,,Mitigation,"<div>Whether Ireland's National Mitigation Plan violated statutory law, the Irish Constitution, and human rights obligations because it is not set to reduce greenhouse gas emissions sufficiently over the next few decades.</div>",National Mitigation Plan|http://climate-laws.org/geographies/ireland/policies/national-mitigation-plan,Climate Action and Low Carbon Development Act 2015|http://climate-laws.org/geographies/ireland/laws/climate-action-and-low-carbon-development-act-2015,,Economy-wide,Friends of the Irish Environment|ngo,Ireland|government,,25/12/2018|Case opened|The advocacy group Friends of the Irish Environment (FIE) filed a suit before the High Court challengin the approval of the National Mitigation Plan as it violated Ireland's Climate Action and Low Carbon Development Act (2015).,01/01/2019|Disputed policy is adopted|The Irish Government approves the National Mitigation Plan,22/01/2019|Case argued before High Court,19/09/2019|Case decided|The Court ruled in favor of the Government rejecting the calim that the Plan was invalid for failing to achieve substantial short-term emission reductions. It also argued that the Plan is an initial step in achieving targets towards a low-carbon and climate resilient economy.,22/11/2019|Case appealed,31/07/2020|Case decided|Supreme Court rules in favour of Friends of the Irish Environment,"<div>An advocacy group, Friends of the Irish Environment (FIE), filed suit in the High Court, arguing that the Irish government’s approval of the National Mitigation Plan in 2017 violated Ireland’s Climate Action and Low Carbon Development Act 2015 (""the Act""), the Constitution of Ireland, and obligations under the European Convention on Human Rights, particularly the right to life and the right to private and family life. FIE alleged that the National Mitigation Plan (""the Plan""), which seeks to transition to a low-carbon economy by 2050, is inconsistent with the Act and Ireland's human rights commitments because it is not designed to achieve substantial short-term emissions reductions. The case was argued before the High Court on January 22, 2019. FIE asked the High Court to quash the government's decision to approve the Plan and, if appropriate, order that a new plan be written.&nbsp;<br><br></div><div>On September 19, 2019, the Court ruled for the government. The Court rejected FEI's claim that the Plan was invalid for failing to achieve substantial short-term emissions reductions, concluding that the Act does not require particular intermediate targets. The Court recognized that ""there is now limited room, or . . . carbon budget, for greenhouse gas emissions"" given the ""safe temperature rise target"" of 1.5 degrees Celsius. The Court reasoned, however, that the government appropriately exercised policy making discretion afforded by the Act, explaining that the current Plan is only an initial step in achieving targets for transitioning to a low-carbon, climate resilient, and environmentally sustainable economy by 2050, and will be subject to review and revision. The Court concluded that FEI had standing to bring rights-based claims, but rejected the argument that the government had violated Ireland's Constitution and commitments under the European Convention on Human Rights because the Plan is ""but one, albeit extremely important, piece of the jigsaw.""&nbsp;<br><br></div><div>On November 22, 2019, FEI appealed the ruling to the Court of Appeal. FEI also submitted an application to leapfrog the traditional appeal route and go directly to the Supreme Court. On February 13, 2020 the Supreme Court agreed to hear the case, determining that exceptional circumstances warranted direct appeal. The Court explained that, ""[t]he applicant and the respondents accept that there exists a degree of urgency in respect of the adoption of remedial environmental measures. There is no dispute between the parties as to the science underpinning the Plan and the likely increase in greenhouse emissions over the lifetime of the Plan.""<br><br>On July 31, 2020, the Supreme Court reversed the lower court and issued a ruling quashing the Plan. The Court unanimously determined that the Plan falls short of the sort of specificity that the Act requires because a reasonable reader of the Plan would not understand how Ireland will achieve its 2050 goals. The Court explained that ""a compliant plan must be sufficiently specific as to policy over the whole period to 2050."" The Court, however, determined that FIE lacks standing to bring its claims under the Constitution or ECHR. The Court also concluded that FIE had not made a compelling enough case for identifying an unenumerated right to a healthy environment, separate from the rights expressly conferred by the Irish Constitution, ""[w]hile not ruling out the possibility that constitutional rights and obligations may well be engaged in the environmental field in an appropriate case.""</div>",,,,,,,
